"","-1","0","1"
"L","76105 (1.89%)","3881407 (96.23%)","76106 (1.89%)"
"LM","40824 (1.89%)","2082024 (96.23%)","40824 (1.89%)"
"M","5436 (1.89%)","277236 (96.23%)","5436 (1.89%)"
"HM","74430 (1.89%)","3795930 (96.23%)","74430 (1.89%)"
"H","30080 (1.89%)","1534080 (96.23%)","30080 (1.89%)"
